01290;CROTTET;;;CROTTET;
01290;CRUZILLES LES MEPILLAT;;;CRUZILLES LES MEPILLAT;
01290;GRIEGES;;;GRIEGES;
01290;LAIZ;;;LAIZ;
01290;PONT DE VEYLE;;;PONT DE VEYLE;
01290;ST ANDRE D HUIRIAT;;;ST ANDRE D HUIRIAT;
01290;ST JEAN SUR VEYLE;;;ST JEAN SUR VEYLE;
01300;AMBLEON;;;AMBLEON;
01300;ANDERT ET CONDON;;;ANDERT ET CONDON;
01300;ARBIGNIEU;;;ARBOYS EN BUGEY;ARBIGNIEU
01300;ST BOIS;;;ARBOYS EN BUGEY;ST BOIS
01300;BELLEY;;;BELLEY;
01300;BREGNIER CORDON;;;BREGNIER CORDON;
01300;BRENS;;;BRENS;
01300;CHAZEY BONS;;;CHAZEY BONS;
01300;COLOMIEU;;;COLOMIEU;
01300;CONTREVOZ;;;CONTREVOZ;
01300;CONZIEU;;;CONZIEU;
01300;CUZIEU;;;CUZIEU;
01300;IZIEU;;;IZIEU;
01300;MAGNIEU;;;MAGNIEU;
01300;ST CHAMP;;;MAGNIEU;ST CHAMP
01300;MARIGNIEU;;;MARIGNIEU;
01300;MASSIGNIEU DE RIVES;;;MASSIGNIEU DE RIVES;
01300;MURS ET GELIGNIEUX;;;MURS ET GELIGNIEUX;
01300;NATTAGES;;;PARVES ET NATTAGES;NATTAGES
01300;PARVES;;;PARVES ET NATTAGES;PARVES
01300;PEYRIEU;;;PEYRIEU;
01300;PREMEYZEL;;;PREMEYZEL;
01300;GROSLEE;;;GROSLEE ST BENOIT;GROSLEE
01300;ST BENOIT;;;GROSLEE ST BENOIT;ST BENOIT
01300;ST GERMAIN LES PAROISSES;;;ST GERMAIN LES PAROISSES;
01300;VIRIGNIN;;;VIRIGNIN;
01310;BUELLAS;;;BUELLAS;
01310;CORGENON;;;BUELLAS;CORGENON
01310;CONFRANCON;;;CONFRANCON;
01310;CURTAFOND;;;CURTAFOND;
01310;MONTCET;;;MONTCET;
01310;MONTRACOL;;;MONTRACOL;
01310;POLLIAT;;;POLLIAT;
01310;ST MARTIN LE CHATEL;;;ST MARTIN LE CHATEL;
01310;ST REMY;;;ST REMY;
01320;CHALAMONT;;;CHALAMONT;
01320;CHATENAY;;;CHATENAY;
01320;CHATILLON LA PALUD;;;CHATILLON LA PALUD;
01320;CRANS;;;CRANS;
01320;ST NIZIER LE DESERT;;;ST NIZIER LE DESERT;
01320;VILLETTE SUR AIN;;;VILLETTE SUR AIN;
01330;AMBERIEUX EN DOMBES;;;AMBERIEUX EN DOMBES;
01330;BIRIEUX;;;BIRIEUX;
01330;BOULIGNEUX;;;BOULIGNEUX;
01330;LAPEYROUSE;;;LAPEYROUSE;
01330;LE PLANTAY;;;LE PLANTAY;
01330;STE OLIVE;;;STE OLIVE;
01330;VERSAILLEUX;;;VERSAILLEUX;
01330;VILLARS LES DOMBES;;;VILLARS LES DOMBES;
01340;ATTIGNAT;;;ATTIGNAT;
01340;BEREZIAT;;;BEREZIAT;
01340;CRAS SUR REYSSOUZE;;;BRESSE VALLONS;CRAS SUR REYSSOUZE
01340;ETREZ;;;BRESSE VALLONS;ETREZ
01340;FOISSIAT;;;FOISSIAT;
01340;JAYAT;;;JAYAT;
01340;MALAFRETAZ;;;MALAFRETAZ;
01340;MARSONNAS;;;MARSONNAS;
01340;MONTREVEL EN BRESSE;;;MONTREVEL EN BRESSE;
01340;ST DIDIER D AUSSIAT;;;ST DIDIER D AUSSIAT;
01340;ST SULPICE;;;ST SULPICE;
01350;ANGLEFORT;;;ANGLEFORT;
01350;CEYZERIEU;;;CEYZERIEU;
01350;CRESSIN ROCHEFORT;;;CRESSIN ROCHEFORT;
01350;BEON;;;CULOZ BEON;BEON
01350;CULOZ;;;CULOZ BEON;CULOZ
01350;FLAXIEU;;;FLAXIEU;
01350;LAVOURS;;;LAVOURS;
01350;POLLIEU;;;POLLIEU;
01350;VONGNES;;;VONGNES;
01360;BALAN;;;BALAN;
01360;BELIGNEUX;;;BELIGNEUX;
01360;CAMP DE LA VALBONNE;;;BELIGNEUX;CAMP DE LA VALBONNE
01360;CHANES;;;BELIGNEUX;CHANES
01360;LA VALBONNE;;;BELIGNEUX;LA VALBONNE
01360;BRESSOLLES;;;BRESSOLLES;
01360;LA LECHERE;;;BRESSOLLES;LA LECHERE
01360;LOYETTES;;;LOYETTES;
01370;BENY;;;BENY;
01370;COURMANGOUX;;;COURMANGOUX;
01370;MEILLONNAS;;;MEILLONNAS;
01370;ST ETIENNE DU BOIS;;;ST ETIENNE DU BOIS;
01370;CUISIAT;;;VAL REVERMONT;CUISIAT
01370;PRESSIAT;;;VAL REVERMONT;PRESSIAT
01370;TREFFORT CUISIAT;;;VAL REVERMONT;TREFFORT CUISIAT
01380;BAGE LA VILLE;;;BAGE DOMMARTIN;BAGE LA VILLE
01380;DOMMARTIN;;;BAGE DOMMARTIN;DOMMARTIN
01380;BAGE LE CHATEL;;;BAGE LE CHATEL;
01380;BOISSEY;;;BOISSEY;
01380;ST ANDRE DE BAGE;;;ST ANDRE DE BAGE;
01380;ST CYR SUR MENTHON;;;ST CYR SUR MENTHON;
01380;ST GENIS SUR MENTHON;;;ST GENIS SUR MENTHON;
01390;CIVRIEUX;;;CIVRIEUX;
01390;MIONNAY;;;MIONNAY;
01390;MONTHIEUX;;;MONTHIEUX;
01390;RANCE;;;RANCE;
01390;ST ANDRE DE CORCY;;;ST ANDRE DE CORCY;
01390;ST JEAN DE THURIGNEUX;;;ST JEAN DE THURIGNEUX;
01390;ST MARCEL;;;ST MARCEL;
01390;TRAMOYES;;;TRAMOYES;
01400;L ABERGEMENT CLEMENCIAT;;;L ABERGEMENT CLEMENCIAT;
01400;CHANOZ CHATENAY;;;CHANOZ CHATENAY;
01400;CHATILLON SUR CHALARONNE;;;CHATILLON SUR CHALARONNE;
01400;CONDEISSIAT;;;CONDEISSIAT;
01400;DOMPIERRE SUR CHALARONNE;;;DOMPIERRE SUR CHALARONNE;
01400;NEUVILLE LES DAMES;;;NEUVILLE LES DAMES;
01400;ROMANS;;;ROMANS;
01400;ST GEORGES SUR RENON;;;ST GEORGES SUR RENON;
01400;SANDRANS;;;SANDRANS;
01400;SULIGNAT;;;SULIGNAT;
01410;CHAMPFROMIER;;;CHAMPFROMIER;
01410;CHEZERY FORENS;;;CHEZERY FORENS;
01410;LELEX;;;LELEX;
01410;MIJOUX;;;MIJOUX;
01410;LAJOUX;;;LAJOUX;
01420;CHANAY;;;CHANAY;
01420;CORBONOD;;;CORBONOD;
01420;LHOPITAL;;;SURJOUX LHOPITAL;LHOPITAL
01420;SURJOUX;;;SURJOUX LHOPITAL;SURJOUX
01420;SEYSSEL;;;SEYSSEL;
01430;CEIGNES;;;CEIGNES;
01430;CHEVILLARD;;;CHEVILLARD;
01430;CONDAMINE;;;CONDAMINE;
01430;IZENAVE;;;IZENAVE;
01430;LANTENAY;;;LANTENAY;
01430;MAILLAT;;;MAILLAT;
01430;OUTRIAZ;;;OUTRIAZ;
01430;PEYRIAT;;;PEYRIAT;
01430;ST MARTIN DU FRENE;;;ST MARTIN DU FRENE;
01430;VIEU D IZENAVE;;;VIEU D IZENAVE;
01440;VIRIAT;;;VIRIAT;
